Site	year	DOY	time	T_R1	T_R0	VZA	T_A1	T_A0	u	ea	p	S_dn	RN	L_dn	LAI	h_C	f_c	f_g	w_C
1	2021	77	13.0	297.7927189806921	281.71173991310485	0.0	288.726	280.913	3.39103	10.311300000000001	998.403	885.084	617.291	311.872	1.0	3.0	1.0	1.0	1.0
1	2021	78	13.0	296.4371616114905	284.4177493784971	0.0	289.595	284.226	4.60369	14.1261	998.942	741.942	531.101	342.831	1.0	3.0	1.0	1.0	1.0
1	2021	79	13.0	295.80138996456316	280.24878976404875	0.0	287.129	280.693	5.26096	7.992400000000001	1001.0899999999999	920.421	629.29	288.088	1.0	3.0	1.0	1.0	1.0
1	2021	80	13.0	296.20933771717404	278.92117536825253	0.0	287.802	279.463	6.01943	7.45884	999.275	932.334	638.336	288.613	1.0	3.0	1.0	1.0	1.0
1	2021	81	13.0	295.9509577350037	280.9188355765917	0.0	286.54	280.737	4.9851	9.09899	998.992	920.062	632.011	289.828	1.0	3.0	1.0	1.0	1.0
1	2021	82	13.0	297.2186387700815	281.4250411685686	0.0	287.516	280.798	4.42288	9.12729	992.208	932.807	638.366	293.36	1.0	3.0	1.0	1.0	1.0
1	2021	83	13.0	300.3276157946307	278.99957032121057	0.0	291.264	281.319	3.40329	5.785399999999999	993.925	925.008	618.748	299.784	1.0	3.0	1.0	1.0	1.0
1	2021	84	13.0	292.31842494317993	282.02916683583413	0.0	283.852	281.326	6.3956	9.518600000000001	990.165	953.94	691.004	312.028	1.0	3.0	1.0	1.0	1.0
1	2021	85	13.0	300.22851729270315	280.37581749723097	0.0	289.526	279.994	2.16499	9.36735	994.876	928.758	627.576	302.887	1.0	3.0	1.0	1.0	1.0
1	2021	86	13.0	302.7993357377934	279.82826234546695	0.0	294.051	280.717	3.40562	9.934270000000001	1002.12	949.493	639.757	314.303	1.0	3.0	1.0	1.0	1.0
1	2021	87	13.0	306.026810720434	281.89729383875965	0.0	298.134	283.25	2.75377	7.09202	1000.21	955.217	637.148	328.128	1.0	3.0	1.0	1.0	1.0
1	2021	88	13.0	301.09521249511255	280.8081685424094	0.0	292.225	279.924	4.52228	10.9966	991.895	966.159	657.048	308.84	1.0	3.0	1.0	1.0	1.0
